date,station_id,actual_snow_mm,actual_category,forecast_probability,ensemble_score,regional_score,global_score,event_type,lead_time,primary_driver,forecast_hit
2002-10-18,eagle_river_wi,37.8,significant,40,0.24,0.34285714285714286,0.0,QUIET,12-48 hours,Regional,True
2011-11-19,eagle_river_wi,40.599999999999994,significant,85,0.7,1.0,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2002-11-05,eagle_river_wi,16.1,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2008-12-26,eagle_river_wi,35.0,significant,70,0.5599999999999999,0.7999999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2020-03-20,eagle_river_wi,40.599999999999994,significant,55,0.37999999999999995,0.5428571428571428,0.0,LAKE EFFECT,12-48 hours,Regional,True
2019-12-12,eagle_river_wi,57.400000000000006,major,70,0.572,0.8171428571428571,0.0,LAKE EFFECT,12-48 hours,Regional,True
2016-01-08,eagle_river_wi,70.0,major,70,0.5878951456310679,0.792,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2008-11-09,eagle_river_wi,17.5,trace,70,0.5570833333333333,0.7958333333333333,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2001-01-31,eagle_river_wi,8.4,trace,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2021-01-24,eagle_river_wi,28.0,significant,70,0.46199999999999997,0.66,0.0,LAKE EFFECT,12-48 hours,Regional,True
2010-11-13,eagle_river_wi,90.3,major,55,0.37123237190844016,0.4824817518248174,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2013-04-15,eagle_river_wi,15.4,trace,70,0.5638287795354863,0.7576194770063119,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2011-12-12,eagle_river_wi,11.899999999999999,trace,55,0.2769902912621359,0.3,0.22330097087378642,QUIET,12-48 hours,Regional,True
2014-11-11,eagle_river_wi,109.9,extreme,70,0.5454951456310679,0.7314285714285714,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2003-11-24,eagle_river_wi,18.9,trace,70,0.5804379562043793,0.8291970802919706,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2013-03-10,eagle_river_wi,7.0,trace,70,0.5824,0.8320000000000001,0.0,LAKE EFFECT,12-48 hours,Regional,True
2003-04-03,eagle_river_wi,27.3,significant,85,0.7,1.0,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2002-04-22,eagle_river_wi,35.699999999999996,significant,70,0.5067999999999999,0.724,0.0,LAKE EFFECT,12-48 hours,Regional,True
2002-02-12,eagle_river_wi,7.0,trace,55,0.3694951456310679,0.4799999999999999,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2018-11-19,eagle_river_wi,20.299999999999997,significant,70,0.523157894736842,0.7473684210526316,0.0,LAKE EFFECT,12-48 hours,Regional,True
2003-10-28,eagle_river_wi,49.699999999999996,significant,70,0.5334482758620689,0.7620689655172413,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2020-10-21,phelps_wi,6.72,trace,70,0.47999999999999987,0.6857142857142856,0.0,LAKE EFFECT,12-48 hours,Regional,True
2003-01-05,eagle_river_wi,15.4,trace,70,0.40309514563106796,0.528,0.11165048543689321,REGIONAL SYSTEM,12-48 hours,Regional,True
2000-11-17,eagle_river_wi,5.6000000000000005,trace,70,0.48199999999999993,0.6885714285714285,0.0,LAKE EFFECT,12-48 hours,Regional,True
2012-03-30,eagle_river_wi,28.0,significant,70,0.4419657348963029,0.6313796212804328,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2001-11-29,eagle_river_wi,7.0,trace,85,0.7,1.0,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2000-11-13,eagle_river_wi,70.7,major,55,0.32199999999999995,0.45999999999999996,0.0,LAKE EFFECT,12-48 hours,Regional,True
2009-12-27,eagle_river_wi,7.0,trace,70,0.5638287795354863,0.7576194770063119,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2022-02-22,phelps_wi,6.58,trace,70,0.5587376014427411,0.7981965734896302,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2021-02-28,eagle_river_wi,85.39999999999999,major,70,0.46344827586206894,0.6620689655172414,0.0,LAKE EFFECT,12-48 hours,Regional,True
2024-03-24,eagle_river_wi,32.9,significant,70,0.5665192083818392,0.8093131548311989,0.0,LAKE EFFECT,12-48 hours,Regional,True
2008-04-11,phelps_wi,10.36,trace,70,0.5665192083818392,0.8093131548311989,0.0,LAKE EFFECT,12-48 hours,Regional,True
2008-02-14,eagle_river_wi,34.300000000000004,significant,70,0.4479999999999999,0.6399999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2015-11-13,phelps_wi,5.39,trace,55,0.2994160583941605,0.4277372262773722,0.0,LAKE EFFECT,12-48 hours,Regional,True
2000-03-28,eagle_river_wi,33.6,significant,55,0.3705805243445692,0.5294007490636703,0.0,LAKE EFFECT,12-48 hours,Regional,True
2016-12-21,eagle_river_wi,21.0,significant,55,0.3979999999999999,0.5685714285714285,0.0,LAKE EFFECT,12-48 hours,Regional,True
2018-04-17,eagle_river_wi,9.1,trace,70,0.5665192083818392,0.8093131548311989,0.0,LAKE EFFECT,12-48 hours,Regional,True
2001-01-15,eagle_river_wi,42.0,significant,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2015-04-06,eagle_river_wi,47.599999999999994,significant,70,0.409495145631068,0.5371428571428571,0.11165048543689321,REGIONAL SYSTEM,12-48 hours,Regional,True
2021-02-25,eagle_river_wi,5.6000000000000005,trace,70,0.4772727272727272,0.6818181818181818,0.0,LAKE EFFECT,12-48 hours,Regional,True
2006-02-03,eagle_river_wi,12.6,trace,70,0.512,0.7314285714285714,0.0,LAKE EFFECT,12-48 hours,Regional,True
2008-12-06,eagle_river_wi,24.5,significant,55,0.25199999999999995,0.35999999999999993,0.0,LAKE EFFECT,12-48 hours,Regional,True
2014-11-25,phelps_wi,5.88,trace,70,0.5599999999999999,0.7999999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2022-02-23,eagle_river_wi,19.6,trace,70,0.572,0.8171428571428571,0.0,LAKE EFFECT,12-48 hours,Regional,True
2006-03-23,eagle_river_wi,5.6000000000000005,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2013-03-11,eagle_river_wi,109.2,extreme,70,0.5824,0.8320000000000001,0.0,LAKE EFFECT,12-48 hours,Regional,True
2013-01-30,eagle_river_wi,34.300000000000004,significant,70,0.504,0.72,0.0,LAKE EFFECT,12-48 hours,Regional,True
2022-04-07,eagle_river_wi,32.2,significant,85,0.6356592574435116,0.8602344454463481,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2007-12-29,eagle_river_wi,14.7,trace,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2004-02-03,eagle_river_wi,41.3,significant,70,0.4545897204688908,0.6494138863841298,0.0,LAKE EFFECT,12-48 hours,Regional,True
2001-02-04,eagle_river_wi,11.200000000000001,trace,55,0.25199999999999995,0.35999999999999993,0.0,LAKE EFFECT,12-48 hours,Regional,True
2016-01-12,eagle_river_wi,9.1,trace,55,0.31699514563106795,0.405,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2003-11-22,eagle_river_wi,17.5,trace,70,0.5382792665726374,0.7689703808180534,0.0,LAKE EFFECT,12-48 hours,Regional,True
2007-12-02,eagle_river_wi,91.7,major,70,0.5334896302975654,0.7621280432822363,0.0,LAKE EFFECT,12-48 hours,Regional,True
2006-11-13,eagle_river_wi,24.5,significant,70,0.4678947368421052,0.6684210526315789,0.0,LAKE EFFECT,12-48 hours,Regional,True
2011-01-07,eagle_river_wi,5.6000000000000005,trace,55,0.3282758620689655,0.4689655172413793,0.0,LAKE EFFECT,12-48 hours,Regional,True
